Institution,Count AI,Faculty AI,Count Systems,Faculty Systems,Count Theory,Faculty Theory,Count Interdisciplinary,Faculty Interdisciplinary
Brandeis University,4.3,7.0,1.1,2.0,0.0,0.0,1.1,1.0
Case Western Reserve University,2.1,5.0,1.3,7.0,0.0,0.0,1.3,4.0
Drexel University,2.4,6.0,1.1,5.0,1.8,4.0,1.3,5.0
Florida International University,2.0,7.0,1.2,8.0,1.4,2.0,1.4,8.0
Portland State University,1.7,4.0,1.3,5.0,1.7,1.0,1.3,2.0
Rensselaer Polytechnic Institute,2.9,8.0,1.1,3.0,1.1,1.0,1.5,5.0
Univ. of Maryland - Baltimore County,3.2,11.0,1.1,5.0,0.0,0.0,1.4,6.0
University of Iowa,1.6,4.0,1.4,7.0,1.7,2.0,1.3,4.0
University of Louisiana - Lafayette,1.8,6.0,1.2,7.0,0.0,0.0,1.5,6.0
University of New Hampshire,2.9,5.0,1.2,2.0,0.0,0.0,1.3,5.0
University of North Texas,2.7,9.0,1.3,8.0,0.0,0.0,1.3,5.0
Auburn University,2.3,5.0,1.1,5.0,0.0,0.0,1.1,4.0
Boston College,2.2,4.0,1.0,2.0,2.0,4.0,1.3,2.0
Colorado State University,1.4,4.0,1.3,3.0,0.0,0.0,1.3,4.0
DePaul University,1.5,5.0,1.1,3.0,1.4,3.0,1.5,7.0
Kent State University,1.3,1.0,1.3,6.0,1.1,1.0,1.4,5.0
Michigan Technological University,1.3,5.0,1.2,4.0,1.7,1.0,1.4,5.0
University of Arkansas,1.9,2.0,1.2,3.0,1.4,1.0,1.0,1.0
University of Kansas,1.4,4.0,1.5,7.0,0.0,0.0,1.2,3.0
University of Kentucky,2.5,6.0,1.1,2.0,0.0,0.0,1.1,2.0
University of Memphis,1.8,5.0,1.1,3.0,0.0,0.0,1.6,5.0
University of Nevada,1.3,3.0,1.2,3.0,0.0,0.0,1.8,10.0
University of South Florida,1.3,3.0,1.3,5.0,1.1,1.0,1.4,3.0
University of Texas at San Antonio,1.2,4.0,1.5,8.0,0.0,0.0,1.3,4.0
Virginia Commonwealth University,1.4,4.0,1.2,3.0,1.6,2.0,1.4,4.0
Boise State University,1.4,3.0,1.1,3.0,0.0,0.0,1.2,2.0
Cleveland State University,1.4,3.0,1.1,3.0,0.0,0.0,1.1,2.0
Georgia State University,1.5,3.0,1.1,4.0,0.0,0.0,1.2,4.0
IUPUI,1.4,4.0,1.1,1.0,0.0,0.0,1.5,7.0
Kansas State University,1.4,3.0,1.2,4.0,1.3,1.0,1.2,1.0
Louisiana State University,1.2,3.0,1.2,5.0,1.1,1.0,1.1,2.0
New Mexico State University,1.6,5.0,1.1,5.0,0.0,0.0,1.1,2.0
Northern Arizona University,1.1,2.0,1.3,5.0,0.0,0.0,1.1,3.0
Old Dominion University,1.3,4.0,1.1,5.0,0.0,0.0,1.2,3.0
Texas State University,1.1,2.0,1.4,6.0,1.1,1.0,1.1,6.0
Texas Tech University,1.3,3.0,1.2,4.0,1.4,1.0,1.1,2.0
UCCS,1.8,5.0,1.1,4.0,0.0,0.0,1.2,3.0
University of Alabama - Birmingham,1.2,2.0,1.3,5.0,0.0,0.0,0.0,0.0
University of Hawaii at Manoa,1.1,1.0,1.1,4.0,1.4,3.0,1.1,4.0
University of Massachusetts Boston,1.2,3.0,1.2,3.0,0.0,0.0,1.2,4.0
University of Nebraska - Omaha,1.5,3.0,1.1,2.0,0.0,0.0,1.3,3.0
University of New Mexico,1.0,1.0,1.1,4.0,1.4,2.0,1.5,3.0
University of Vermont,1.2,3.0,1.2,5.0,0.0,0.0,1.2,2.0
West Virginia University,2.5,6.0,1.0,1.0,0.0,0.0,0.0,0.0
Florida Atlantic University,1.1,1.0,1.1,2.0,1.6,1.0,1.0,1.0
Mississippi State University,1.3,2.0,1.1,2.0,0.0,0.0,1.0,1.0
Naval Postgraduate School,0.0,0.0,1.2,6.0,1.1,1.0,1.2,4.0
OHSU,1.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Ohio University,1.1,1.0,1.1,2.0,0.0,0.0,1.1,2.0
Oklahoma State University,1.2,1.0,1.1,2.0,0.0,0.0,1.0,1.0
Saint Louis University,1.1,1.0,1.1,3.0,1.2,2.0,1.2,4.0
The University of Alabama,1.2,1.0,1.1,3.0,0.0,0.0,1.3,5.0
Towson University,1.2,1.0,0.0,0.0,1.3,1.0,1.1,2.0
UNC - Greensboro,1.2,1.0,1.0,1.0,0.0,0.0,1.2,3.0
University at Albany - SUNY,1.2,2.0,1.0,1.0,0.0,0.0,1.2,1.0
University of Cincinnati,1.0,1.0,1.2,2.0,1.1,1.0,1.0,2.0
University of Colorado - Denver,1.0,1.0,1.1,1.0,0.0,0.0,1.2,2.0
University of Denver,1.0,1.0,0.0,0.0,0.0,0.0,1.3,3.0
University of Michigan-Dearborn,1.2,3.0,1.3,5.0,0.0,0.0,1.0,1.0
University of Missouri,1.5,4.0,1.0,1.0,1.3,1.0,1.1,2.0
University of Nevada Las Vegas,0.0,0.0,1.2,5.0,0.0,0.0,1.0,1.0
University of New Orleans,1.0,1.0,1.1,1.0,0.0,0.0,1.0,1.0
University of Oklahoma,1.3,3.0,1.0,1.0,1.1,1.0,1.1,2.0
University of Southern Mississippi,1.2,1.0,0.0,0.0,0.0,0.0,1.2,2.0
University of Texas - El Paso,1.4,4.0,1.0,2.0,1.1,1.0,1.0,1.0
University of Wisconsin - Milwaukee,0.0,0.0,1.0,1.0,1.6,2.0,0.0,0.0
University of Wyoming,0.0,0.0,0.0,0.0,0.0,0.0,1.3,2.0
Utah State University,1.1,1.0,1.1,3.0,0.0,0.0,1.2,4.0
Western Michigan University,1.0,1.0,1.1,2.0,0.0,0.0,1.0,1.0
Wichita State University,1.3,1.0,1.1,1.0,0.0,0.0,1.2,1.0
Air Force Institute of Technology,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.0
Florida Institute of Technology,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Indiana State University,0.0,0.0,0.0,0.0,1.3,2.0,0.0,0.0
Missouri S&T,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Missouri University of Technology,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
Montana State University,1.0,1.0,1.0,1.0,1.1,2.0,1.1,3.0
New Mexico Tech,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Southeastern University,1.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakland University,0.0,0.0,1.1,1.0,0.0,0.0,0.0,0.0
SIU Carbondale,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Southern Methodist University,0.0,0.0,1.1,2.0,0.0,0.0,1.1,2.0
University of Alabama - Huntsville,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
University of Louisville,0.0,0.0,1.0,1.0,0.0,0.0,1.1,1.0
University of Miami,0.0,0.0,1.1,1.0,0.0,0.0,1.1,1.0
University of Missouri - Kansas City,1.1,2.0,1.0,1.0,0.0,0.0,0.0,0.0
University of Tulsa,1.1,2.0,1.0,1.0,0.0,0.0,1.0,1.0
